03-01-2014,Boeing 737-8H4 (WL),N8327A,Southwest Airlines,0,A2
05-01-2014,Boeing 767-3W0ER,HS-BKE,Orient Thai Airlines opf. Saudi Arabian,0,A2
05-01-2014,Canadair CL-600-2B16 Challenger 601,N115WF,Vineland Corporation,1,A1
05-01-2014,Airbus A320-231,VT-ESH,Air India,0,A2
07-01-2014,Fokker 50,C5-SSA,South Supreme Airlines,0,A2
10-01-2014,Beechcraft 300 King Air (MARSS),,US Army,3,A1
12-01-2014,Cessna 501 Citation I/SP,N452TS,private,4,A1
14-01-2014,Gulfstream 200,N720QS,NetJets,0,A2
18-01-2014,DC-9-33RC,XA-UQM,Aeronaves TSM,0,A2
18-01-2014,Cessna 208B Grand Caravan,8R-GHS,Trans Guyana Airways,2,A1
20-01-2014,IRMA/BN-2A-27 Islander,YR-BNP,Scoala Superioara de Aviatie Civila,2,A1
20-01-2014,Antonov 28,,Unknown,0,A1
22-01-2014,Cessna 500 Citation I,OY-JAI,L'Easy,0,A2
26-01-2014,Boeing 737-3B7 (SF),ZK-TLC,Airwork NZ opf. Pacific Air Express,0,A1
28-01-2014,Saab 2000,HB-IZG,Darwin Airline opf. Etihad Regional,0,A2
29-01-2014,DHC-8-202Q,OY-GRI,Air Greenland,0,A1
01-02-2014,Boeing 737-9GPER (WL),PK-LFH, Lion Air,0,A2
03-02-2014,Cessna 525 CitationJet,N61YP,Brink Constructors Inc.,0,A2
04-02-2014,Xian MA60,B-3455,Joy Air,0,A2
06-02-2014,Viking Air DHC-6 Twin Otter 400,RA-67282,Chukotavia,0,A2
07-02-2014,Boeing 737-86J (WL),TC-CCP,Pegasus Airlines,0,H2
10-02-2014,Cessna 208B Grand Caravan,ZS-EPZ,Federal Air,0,A2
11-02-2014,Lockheed C-130H-30 Hercules,7T-WHM,Algerian AF,76,A1
12-02-2014,Hawker Siddeley HS-125-700B,RA-02801,Sirius-Aero,0,A2
12-02-2014,ATR 42-300,EI-BYO,Aer Arann,0,O1
15-02-2014,Lockheed P-3C Orion,,US Navy,0,O1
15-02-2014,Lockheed P-3C Orion,,US Navy,0,O1
15-02-2014,Lockheed P-3C Orion,,US Navy,0,O1
16-02-2014,DHC-6 Twin Otter 300,9N-ABB, Nepal Airlines,18,A1
17-02-2014,Boeing 767-3BGER,ET-AMF,Ethiopian Airlines,0,H2
17-02-2014,British Aerospace BAe-748-371 LFD S,5Y-HAJ,Global Airlift opf. International Organization for Migration - I,1,A1
17-02-2014,Boeing 737-8K2 (WL),G-GDFC,Jet2,0,A2
19-02-2014,Beechcraft B100 King Air,N811BL,,1,A1
21-02-2014,Antonov 26,5A-DOW,Libyan Air Cargo,11,A1
22-02-2014,Boeing 737-86N (WL),OK-TVT,Travel Service Airlines,0,A2
25-02-2014,Embraer 120RT Brasilia,D2-FFZ,Guicango,0,A2
02-03-2014,Antonov 26,1177,Yemen AF,0,A2
03-03-2014,Dassault Falcon 20E,EP-FIC,Iran Civil Aviation Organization,4,A1
08-03-2014,Boeing 777-2H6ER,9M-MRO,Malaysia Airlines,239,A1
13-03-2014,Airbus A320-214,N113UW,US Airways,0,A2
27-03-2014,Beechcraft B200 Super King Air,VT-HRA,State of Haryana Government,0,A1
28-03-2014,Lockheed C-130J-30 Super Hercules,KC-3803,Indian AF,5,A1
01-04-2014,Airbus A321-231,D-AISQ,Lufthansa,0,H2
08-04-2014,Cessna 208B Grand Caravan,N126AR,Hageland Aviation Services,2,A1
10-04-2014,Learjet 25D,PT-OHD,private,0,O1
19-04-2014,British Aerospace BAe-125-700A,XA-UKR,LACSA,8,A1
20-04-2014,Fokker 50,5Y-VVJ,Blue Bird Aviation,0,A1
25-04-2014,Antonov 2,UR-ABAB,private,0,C1
29-04-2014,Boeing 737-476SF,EI-STD,Air Contractors,0,A2
08-05-2014,Boeing 737-4Y0,YA-PIB, Ariana Afghan Airlines,0,A1
08-05-2014,Douglas DC-3C,HK-4700,ALIANSA Colombia,6,A1
09-05-2014,Antonov 2T,RF-00446,DOSAAF opf. Lipetsk Aero Club,0,A1
10-05-2014,Fokker 100,EP-ASZ,Iran Aseman Airlines,0,A2
10-05-2014,Fokker 100,5N-SIK,IRS Airlines,0,A2
12-05-2014,Harbin Yunshuji Y-12-II,,Kenyan AF,1,A1
17-05-2014,Antonov 74TK-300,RDPL-34020,Laos Government,16,A1
22-05-2014,Cessna 525 CitationJet CJ1,N203BG,Barber Aviation,0,A2
26-05-2014,Yakovlev 40,UR-MMK,Constanta,0,C1
27-05-2014,Beechcraft B200 Super King Air,LV-CNT,Kowzef S.A.,5,A1
30-05-2014,DHC-3T Texas Turbine Otter,N3125N,Alaska Air Taxi,0,A2
31-05-2014,Gulfstream G-IV,N121JM,SK Travel LLC,7,A1
02-06-2014,Beechcraft B200 Super King Air,PNC-0225,Colombian Police,0,A1
03-06-2014,Ilyushin 96-300,RA-96010,Aeroflot,0,O1
06-06-2014,Antonov 30,80 yellow,Ukraine Air Force,5,C1
07-06-2014,Antonov 2,RF-02883,private,1,A1
08-06-2014,Antonov 2T,SP-FDZ,Aeroklub Elblaski,0,A2
13-06-2014,Cessna 525 CitationJet CJ1,PP-PIM,Planalto Indústria Mecânica,0,A2
14-06-2014,Ilyushin 76MD,76777,Ukraine Air Force,49,C1
17-06-2014,Cessna 208 Caravan I,3006,South African AF,3,A1
18-06-2014,IAI 1124A Westwind II,N793BG,Synfuels Holdings Finance LLC,3,A1
19-06-2014,Cessna 208B Grand Caravan,N208SM,Grant Aviation,0,A2
23-06-2014,Learjet 35A,D-CGFI,GFD Gesellschaft für Flugzieldarstellung,2,A1
24-06-2014,Airbus A310-324ET,AP-BGN,PIA,1,C2
02-07-2014,Fokker 50,5Y-CET,Skyward International Aviation,4,A1
06-07-2014,BN-2A Islander,9Q-CYA, ITAB,0,A1
06-07-2014,BN-2A-26 Islander,8R-GGY,Domestic Airways,0,A1
14-07-2014,Antonov 26,19 blue,Ukraine Air Force,2,C1
15-07-2014,Airbus A330-202,5A-LAS,Libyan Airlines,0,C1
16-07-2014,Ilyushin 76T,5A-DNG,Libyan Air Cargo,0,C1
17-07-2014,Boeing 777-2H6ER,9M-MRD,Malaysia Airlines,298,A1
17-07-2014,Antonov 2T,UR-BNK,Association for the Support of the Defence (TSOU),0,C1
20-07-2014,Canadair CL-600-2D24 Regional Jet C,5A-LAB,Libyan Airlines,0,C1
20-07-2014,Airbus A330-202,5A-ONF,Afriqiyah Airways,0,C1
20-07-2014,ATR-72-212,S2-AFN,United Airways,0,A2
23-07-2014,ATR 72-500 (72-212A),B-22810,TransAsia Airways,48,A1
24-07-2014,MD-83,EC-LTV,Swiftair opf. Air Algérie,118,A1
28-07-2014,Embraer EMB-110P1 Bandeirante,PT-TAW,Táxi Aéreo Ribeiro,0,A2
