02-01-2013,Saab 340A,LV-BMD,SOL Líneas Aéreas,0,A1
04-01-2013,BN-2A-27 Islander,YV2615,Transaereo 5074,6,A1
08-01-2013,Let L-410UVP-E9,CP-2382,Aeroeste,0,A2
15-01-2013,Cessna 208B Super Cargomaster,N1120N,Martinaire,1,A1
23-01-2013,DHC-6 Twin Otter 300,C-GKBC,Kenn Borek Air,3,A1
25-01-2013,MD-11F,N618FE,FedEx,0,A2
29-01-2013,Canadair Regional Jet CRJ-200ER,UP-CJ006, SCAT,21,A1
02-02-2013,ATR-72-212A (ATR-72-500),YR-ATS,Carpatair opf. Alitalia,0,A2
06-02-2013,Airbus A320-211,TS-IMB,Tunis Air,0,A2
07-02-2013,Antonov 2R,UR-54853,Poltava-Aero,0,A1
09-02-2013,Beechcraft 1900C,C-FPCO,Pacific Coastal,0,A2
11-02-2013,IPTN/CASA CN-235-220,3X-GGG,Republique de Guinée,11,A1
11-02-2013,Boeing 737-33A,AP-BEH,PIA,0,A1
13-02-2013,Antonov 24RV,UR-WRA,South Airlines,5,A1
20-02-2013,Hawker Beechcraft 390 Premier IA,N777VG,The Vein Guys,5,A1
28-02-2013,Let L-410UVP-E9,LZ-CCJ,Heli Air Services opf. UN,0,A1
02-03-2013,Antonov 2T,RF-01024,DOSAAF,0,A1
04-03-2013,Hawker Beechcraft 390 Premier IA,VP-CAZ,Global Jet Luxembourg,2,A1
04-03-2013,Fokker 50,9Q-CBD, CAA,7,A1
06-03-2013,Beechcraft B200 King Air,OB-1992-P,ATSA,9,A1
07-03-2013,Swearingen SA-227AC Metro III,D-CAVA,Bin Air,0,A2
08-03-2013,Beechcraft 1900C-1,N116AX,ACE Air Cargo,2,A1
17-03-2013,Hawker Beechcraft 390 Premier IA,N26DK,Digicut Systems,2,A1
23-03-2013,Antonov 2R,RA-02203,Yug Line,1,A1
27-03-2013,DHC-6 Twin Otter 300,C-FOPN,,0,A2
07-04-2013,Beechcraft 1900C-1,ZS-PHL,Sahel Air Service,1,A1
13-04-2013,Boeing 737-8GP (WL),PK-LKS, Lion Air,0,A1
16-04-2013,Boeing 767-283ER,XA-TOJ,Aeroméxico,0,A1
17-04-2013,Boeing 737-8GK (WL),5A-DMG,Buraq Air,0,C2
17-04-2013,DHC-6 Twin Otter 300,RDPL-34180,Lao Air,0,A2
23-04-2013,British Aerospace BAe-125 CC3 (HS-1,ZD704,RAF,0,O1
27-04-2013,Beechcraft MC-12W Liberty (King Air,09-0676,USAF,4,A1
29-04-2013,Boeing 747-428BCF,N949CA,National Airlines (National Air Cargo),7,A1
