02-01-2009,Antonov 12BP,S9-SAM, British Gulf International Airlines,0,A1
03-01-2009,Learjet 45XR,N279AJ,Aero Jet Services,0,A1
04-01-2009,Cessna 650 Citation VII,XA-PYN,Aero Cabo,0,A2
04-01-2009,Cessna 550 Citation II,N815MA,JODA LLC opf. Caribair,0,A1
04-01-2009,Basler BT-67 Turbo 67 (DC-3T),C-GEAJ,ALCI Aviation,0,A2
09-01-2009,Cessna 208 Caravan I,EP-858,Peruvian Army,0,A1
11-01-2009,Xian MA60,RP-C8893, Zest Airways,0,A1
15-01-2009,Airbus A320-214,N106US,US Airways,0,A1
15-01-2009,Ilyushin 76MD,RA-76825,Russian Ministry of Interior,3,A1
15-01-2009,Ilyushin 76MD,RA-76827,Russian Ministry of Interior,0,A2
16-01-2009,IAI 1126 Galaxy,YR-TIG,Ion Tiriac Air,0,A1
16-01-2009,Beechcraft 100 King Air,C-GNAA,SkyNorth Air,0,A1
19-01-2009,Fokker 100,EP-CFN, Chabahar Airlines opf. Iran Air,0,A1
20-01-2009,Bombardier BD-700-1A11 Global 5000,C-GERS,Bombardier,0,A2
27-01-2009,ATR-42-320,N902FX,FedEx opf. Empire Airlines,0,A1
27-01-2009,Cessna 560 Citation V,OE-GAA,Tyrol Air Ambulance,0,A2
30-01-2009,C-17A Globemaster III,96-0002,USAF,0,A2
01-02-2009,Airbus A320-232,,IndiGo Airlines,0,A2
04-02-2009,Aero Modifications AMI DC-3-65TP,N834TP,National Test Pilot School,0,A1
04-02-2009,DHC-6 Twin Otter 100,C-FCCE,Transwest Air,0,A1
05-02-2009,Learjet 35A,XB-RYT,Rajet Aeroservicios,0,A2
07-02-2009,Cessna 650 Citation III,I-FEEV,Air One Executive,2,A1
07-02-2009,Embraer 110P1 Bandeirante,PT-SEA,Manaus Aerotáxi,24,A1
11-02-2009,Cessna 208B Grand Caravan,5Y-BUQ,Airworks,0,A1
11-02-2009,Antonov 2,10 yellow,Russian AF,0,A1
12-02-2009,DHC-8-402 Q400,N200WQ,Colgan Air,50,A1
12-02-2009,Dassault Falcon 100,VP-BAF,Laret Aviation,2,A1
12-02-2009,British Aerospace 3102 Jetstream 31,SX-SKY,Sky Express,0,A1
13-02-2009,Avro RJ.100,G-BXAR,BA CityFlyer,0,A1
14-02-2009,CASA C-212 Aviocar 200,N440RA,Arctic Transportation Services,0,A2
15-02-2009,HESA IrAn-140-100,HESA90-04,HESA,5,A1
15-02-2009,Cessna 208B Grand Caravan,YV1950,Rutaca,0,A1
18-02-2009,Basler Turbo-67 (BT-67),FAC-1670,Colombian AF,5,A1
18-02-2009,Basler Turbo-67 (BT-67),PNC-0211,Colombian Police,0,O1
20-02-2009,Antonov 12B,S9-SVN,Aerolift,5,A1
22-02-2009,Antonov 2SX,EX-68039,Golden Rule Airlines,0,A1
24-02-2009,Lockheed C-130H Hercules,1272/SU-BAC,Egyptian AF,0,A1
25-02-2009,Boeing 737-8F2,TC-JGE,THY,9,A1
