01-01-2007,Boeing 737-4Q8,PK-KKW,AdamAir,102,A1
07-01-2007,Beechcraft A100 King Air,C-GFFN,Transwest Air,1,A1
09-01-2007,Antonov 26B-100,ER-26068,Aeriantur-M Airlines,34,A1
09-01-2007,Learjet 24F,N444TW,Ameristar Jet Charter,2,A1
09-01-2007,British Aerospace 3112 Jetstream 31,C-FBIP,Peace Air,0,A1
10-01-2007,Learjet 35A,N40AN,AirNet Systems,0,A1
12-01-2007,Cessna 525 CitationJet,N77215,SunQuest,2,A1
13-01-2007,Boeing 737-230C,PK-RPX,RPX Airlines opf. Gading Sari Aviation Services,0,A1
17-01-2007,Douglas C-54G,N82FA,Brooks Air Fuel,0,A1
18-01-2007,Antonov 2T,SP-FIN,private,0,O1
18-01-2007,Antonov 2TP,SP-AOA,Aeroklub Jeleniogórski,0,O2
18-01-2007,Fokker F-27 Friendship 500RF,TC-MBE,MNG Airlines,0,O1
22-01-2007,ATR-42-500 ?,,Air Botswana,0,H2
24-01-2007,Boeing 737-200,ST-SDA ?,Air West,0,H2
24-01-2007,Cessna 550 Citation II,N492AT,Air Trek,0,A1
24-01-2007,Beechcraft 99A,N699CZ,Freight Runners Express,0,A2
24-01-2007,Canadair Regional Jet CRJ-200ER,EC-IBM,Air Nostrum,0,A2
25-01-2007,Fokker 100,F-GMPG,Régional,1,A1
25-01-2007,Canadair Regional Jet CRJ-200LR,N17337,Mesa Airlines opf. America West Express,0,A2
25-01-2007,Beechcraft 1900D,F-HALS,Alsair,0,A2
02-02-2007,Beechcraft B200 King Air,N777AJ,Horizon Timber Services Inc.,0,A1
04-02-2007,DC-8-71F,HK-4277,TAMPA Colombia,0,A1
04-02-2007,Antonov 2R,LY-AJG,private,0,O1
06-02-2007,Beechcraft 200 Super King Air,N45MF,Metro Aviation,3,A1
06-02-2007,Beechcraft 200C Super King Air,VQ-TIU,Air Turks & Caicos,1,A1
07-02-2007,IRMA/BN-2A-21 Islander,RP-C1047,private,0,A2
08-02-2007,Cessna 208B Grand Caravan,N1116Y,Suburban Air Freight,0,A1
11-02-2007,DHC-6 Twin Otter 300,C-GKCJ,Air Inuit,0,A2
12-02-2007,Lockheed C-130J Hercules,ZH876,RAF,0,C1
13-02-2007,Canadair Regional Jet CRJ-100SE,N168CK,Fort Aero,0,A1
15-02-2007,Boeing 737-7Q8,,Air Mauritanie,0,H2
15-02-2007,Cessna 208B Grand Caravan,5Y-BNN,Stellavia,1,A1
18-02-2007,Embraer ERJ 170-100 SE (ERJ-170SE),N862RW,Shuttle America / Delta Connection,0,A2
21-02-2007,Boeing 737-33A,PK-KKV,AdamAir,0,A1
24-02-2007,Antonov 12BP,ST-AQE,United Arabian Airlines opf. AZZA Transport,0,A1
26-02-2007,Boeing 777-222ER,N786UA,United Air Lines,0,A2
03-03-2007,BN-2B-26 Islander,D-ILFB,LFH Luftverkehr,0,A1
07-03-2007,Boeing 737-497,PK-GZC,Garuda,21,A1
09-03-2007,Ilyushin 76TD,EW-78826,Transaviaexport,0,C1
12-03-2007,Airbus A310-325,S2-ADE,Biman Bangladesh,0,A1
12-03-2007,Saab 340A,OD-IST,First Kuwaiti Trading & Contracting,0,A1
13-03-2007,DHC-8-402Q Dash 8,JA849A,Air Central Co. opf. All Nippon,0,A2
14-03-2007,Antonov 2R,EW-32744,Aviakompania Grodno,0,A2
16-03-2007,MD-82,LZ-LDD,Bulgarian Air Charter opf. Kish Air,0,A1
17-03-2007,Tupolev 134A-3,RA-65021,UTAir,6,A1
17-03-2007,Cessna 500 Citation I,N511AT,Air Trek,0,A2
23-03-2007,Ilyushin 76TD,EW-78849,Transaviaexport,11,C1
23-03-2007,Airbus A300B4-203,YA-BAD, Ariana Afghan Airlines,0,A1
23-03-2007,Dassault Falcon 900C,N129KJ,XOJet,0,A2
26-03-2007,Learjet 36A,N527PA,Phoenix Air,0,A2
29-03-2007,Antonov 2T,YV-1953C,Mayor y Detal de Víveres,0,A2
29-03-2007,Lockheed L-188C Electra,XA-AEG,Mex-Jet Cargo,0,A1
30-03-2007,Airbus A300-622,, Sudan Airways,0,H2
30-03-2007,Embraer 110P1 Bandeirante,P2-ALU,Airlink,2,A1
03-04-2007,Pilatus BN-2A-21 Islander,BDF-05,Belize AF,0,A2
09-04-2007,Let L-410UVP,D6-CAK,Comores Aviation,0,A1
09-04-2007,Beechcraft B200 Super King Air,VH-SGT,Network Aviation Australia,0,A2
10-04-2007,Boeing 737-82R,TC-APU,Pegasus Airlines,0,H2
12-04-2007,Canadair Regional Jet CRJ-200LR,N8905F,Northwest Airlink opf. Pinnacle Airlines,0,A2
19-04-2007,Airbus A300B4-622R,A7-ABV,Qatar Airways,0,O1
20-04-2007,DHC-8-301,C6-BFN,Bahamasair,0,A1
25-04-2007,BN-2A-27 Islander,8R-GET,Air Services,3,A1
03-05-2007,Cessna 550 Citation S/II,N22HP,Hamilton Ranches,2,A1
05-05-2007,Boeing 737-8AL,5Y-KYA,Kenya Airways,114,A1
06-05-2007,DHC-6 Twin Otter 300,742/F-RACB,L'Armée de L'Air opf. MFO,9,A1
10-05-2007,Ilyushin 76TD,EX-093,Tenir Air,0,O1
10-05-2007,Ilyushin 76TD,4K-AZ41,Silk Way,0,A2
17-05-2007,Let L-410UVP,TN-AHE, Safe Air Company,3,A1
20-05-2007,Canadair Regional Jet CRJ-100ER,C-FRIL,Air Canada Jazz,0,A1
24-05-2007,DHC-6 Twin Otter 300,FAP-303,Peruvian AF,13,A1
25-05-2007,Douglas DC-3C,HK-3199,Aerovanguardia,0,A2
30-05-2007,Aviation Traders ATL-98 Carvair,N898AT,Brooks Air Fuel,0,A1
01-06-2007,Short C-23 Sherpa,JW9036,Tanzanian AF,0,A1
01-06-2007,DHC-6-300 Twin Otter,PK-YRU, Trigana Air Service,0,A2
04-06-2007,Cessna 550 Citation II,N550BP,Marlin Air,6,A1
10-06-2007,Dassault Falcon 900,N914DD,Kerry Acquisitions LLC opf. Trishan Air,0,A2
15-06-2007,British Aerospace ATP-F,VT-FFB,First Flight Couriers,0,A1
18-06-2007,Beechcraft 1900D,ZK-EAK,Eagle Airways opf. Air New Zealand Link,0,A2
20-06-2007,Embraer EMB-135LR (ERJ-135LR),N731BE,American Eagle Airlines,0,A2
