01-01-1999,Boeing 737-298C,9Q-CNK,Lignes Aeriennes Congolaises,0,A1
02-01-1999,Lockheed L-100-30 Hercules,D2-EHD,Transafrik opf. UN,9,C1
04-01-1999,Beechcraft 1900C-1,C-FGOI,Regionnair,0,A1
11-01-1999,Hindustan Aeronautics Ltd. HAL-748-,H-2175,Defence Research,8,A1
11-01-1999,CASA C-212 Aviocar 200,802,Zimbabwe AF,5,A1
12-01-1999,Fokker F-27 Friendship 600,G-CHNL,Channel Express,2,A1
13-01-1999,Douglas DC-3C,C-GWUG,Kelowna Flightcraft,2,A1
13-01-1999,Swearingen SA226-AT Merlin IV,I-NARC,Besit Servizi Aerei,0,A1
13-01-1999,Boeing KC-135E Stratotanker,59-1452,Air National Guard,4,A1
14-01-1999,Swearingen SA226-AT Merlin IVC,I-NARB,Besit Servizi Aerei,0,A1
14-01-1999,Beechcraft 300 Super King Air,N780BF,USA Healthcare-Leasing,2,A1
16-01-1999,BN-2A-26 Islander,VH-XFF,Uzu Air,3,A1
18-01-1999,Cessna 208A Caravan I,9N-ADA,Necon Air,5,A1
20-01-1999,Antonov 12B,S9-CAN,Unknown,0,A1
21-01-1999,Antonov 26,152,Nicaraguan AF,28,A1
25-01-1999,BN-2A Islander,HP-987XI,ANSA,,A1
28-01-1999,MD-82,I-DAVN,Alitalia,0,A1
31-01-1999,Boeing 727-2D6,7T-VEH,Air Algérie,0,A1
02-02-1999,Antonov 12,EY-ASS,Santa Cruz Imperial opf. Savanair (Angola),24,A1
02-02-1999,BN-2A-9 Islander,PT-KNM,Nortema Táxi Aéreo,0,A1
03-02-1999,BN-2A-20 Islander,P2-ALH,Airlink,11,A1
04-02-1999,Antonov 26,EL-ANZ,Santa Cruz Imperial opf. Air-Angol,0,A1
07-02-1999,Boeing 707-328C,9G-ROX,Avistar,0,A1
08-02-1999,Lockheed L-188A Electra,9Q-CDI,Air Karibu,7,A1
08-02-1999,DC-9-32,MM62013,Italian AF,0,O1
08-02-1999,DHC-8-311Q Dash 8,B-15237,Uni Air,0,H2
