02-01-2006,British Aerospace BAe-125-700A,P4-AOD,Evolga,3,A1
03-01-2006,Antonov 26,,Ruwenzori Air Asala,0,A2
05-01-2006,Douglas C54G-15-DO (DC-4),C-GXKN,Buffalo Airways,0,A1
05-01-2006,Beechcraft A100 King Air,N700NC,North Country Aviation,0,A1
09-01-2006,Dassault Falcon 20,15-2233,Iranian Revolutionary Guard,11,A1
10-01-2006,DHC-6 Vista Liner 300,TI-BAF,NatureAir,0,A2
10-01-2006,Rockwell T-39N Sabreliner,165524,US Navy,4,A1
12-01-2006,Beechcraft B300 Super King Air 350,D-CUNO,Euroflug Frenzel,2,A1
13-01-2006,Learjet 24F,ZS-FUN,SOS Air Ambulance,0,A2
19-01-2006,Antonov 24B,5605,Slovak AF,42,A1
21-01-2006,Cessna 208B Grand Caravan,C-GRXZ,Sonicblue Airways,3,A1
24-01-2006,Cessna 560 Citation V,N86CE,Goship Air,4,A1
24-01-2006,Antonov 12A,9Q-CER,Aerolift,0,A1
25-01-2006,Cessna 208B Grand Caravan,VH-WZJ,Aero-Tropics,0,A2
01-02-2006,Cessna 500 Citation I,N814ER,Flite Services,0,A1
03-02-2006,Beechcraft 200 Super King Air,N266EB,Private,6,A1
05-02-2006,Shorts 360-100,N3735W,Air Cargo Carriers,3,A1
05-02-2006,Shorts 360-300,N372AC,Air Cargo Carriers,0,A2
08-02-2006,DC-8-71F,N748UP,UPS,0,A1
08-02-2006,Swearingen SA226-TC Metro II,N629EK,TriCoastal Air,1,A1
11-02-2006,Antonov 26,7799,Sudan AF,20,A1
13-02-2006,Grumman G-159 Gulfstream I,YV-903CP,Private,2,A1
14-02-2006,Fokker 50,LN-RND,SAS Commuter,0,O2
15-02-2006,Dassault Falcon 20C-5,F-OVJR,Develton Ltd.,0,A1
16-02-2006,Cessna 501 Citation I/SP,D-IMRX,Hasit Trockenmörtel,6,A1
26-02-2006,Antonov 12BK,TN-AGZ,Aero Fret Business,0,A2
02-03-2006,Antonov 2,, Blue Airlines,0,A2
04-03-2006,MD-82,PK-LMW, Lion Air,0,A1
05-03-2006,Cessna 208B Grand Caravan,YV-1149C,SASCA,0,A1
09-03-2006,Learjet 35A,T-21,Argentine AF,6,A1
10-03-2006,Lockheed L-1329-23E JetStar 8,N116DD,private,0,A1
11-03-2006,ATR-72-212A (ATR-72-500),VT-DKC,Air Deccan,0,A1
17-03-2006,Hawker Siddeley HS-748-286 Srs. 2A,5Y-TCA,Trackmark Cargo,0,A1
18-03-2006,Boeing 737-6D6,7T-VJQ,Air Algérie,0,A2
18-03-2006,Beechcraft C99,N54RP,Ameriflight,2,A1
22-03-2006,Learjet 35,N58EM,Bankair,0,A2
23-03-2006,Antonov 24B,ER-AZZ,Valan Int'l Cargo,0,A1
24-03-2006,Cessna 208B Grand Caravan,HC-BXD,ATESA,5,A1
24-03-2006,Convair CV-580F,ZS-SKI,Skyhaul opf. LAC - SkyCongo,0,O1
