04-01-2001,Shaanxi Yunshuji Y-8,31242,China Air Force,14,A1
04-01-2001,Shaanxi Yunshuji Y-8,31243,China Air Force,8,A1
04-01-2001,Learjet 35,N435JL,Air Response North,0,A1
05-01-2001,Boeing 727-46F,S9-BAI,Air Gemini Cargo,1,A1
06-01-2001,BN-2A-2 Islander,8R-GFN,Guyana AF,3,A1
08-01-2001,CASA/Nurtanio NC-212-MP Aviocar 200,U-614,Indonesian Navy,9,A1
08-01-2001,Boeing 727-23F,D2-FOO,Air Gemini Cargo,0,A1
09-01-2001,Boeing 727-287,CP-2323,LAB,0,A1
11-01-2001,DHC-6 Twin Otter 300,N824ED,Earth Data Aviation,0,A2
11-01-2001,IRMA/BN-2A-21 Islander,PT-KNE,LASA,3,A1
14-01-2001,Learjet 60,N1DC,Ark-Air Flight,0,A1
19-01-2001,IPTN/CASA CN-235M-100,097,Turkish AF,3,A1
22-01-2001,Boeing 727-2N8,,Yemenia Airways,0,H2
23-01-2001,Douglas C-47A-DL (DC-3C),N19454,Majestic Air Cargo,2,A1
23-01-2001,Let L-410UVP,9L-LCG,Eagle Aviation ?,0,A1
25-01-2001,Douglas C-47A-65-DL (DC-3C),YV-224C,Rutaca,24,A1
26-01-2001,Cessna 500 Citation I,N234UM,Marlin Air,0,A1
27-01-2001,Airbus A340-312,,Gulf Air,0,H2
27-01-2001,Antonov 70,UR-NTK,Antonov Design Bureau,0,A2
27-01-2001,Beechcraft 200 Super King Air,N81PF,Jet Express Services,10,A1
30-01-2001,Dornier 328-120,FAC-1165,SATENA,0,H2
31-01-2001,SE-210 Caravelle 10R,HK-3932X,L.A. Suramericanas,3,A1
31-01-2001,Douglas DC-6B,N4390F,Everts Air Cargo,0,A1
01-02-2001,Antonov 26,T-224,Angolan AF,0,A1
04-02-2001,Shorts 360-100,EI-BPD,Aer Arann,0,A1
07-02-2001,Airbus A320-214,EC-HKJ,Iberia,0,A1
08-02-2001,Swearingen SA227-AT Merlin IVC,N318DH,Northern Illinois Flight Center,2,A1
08-02-2001,Learjet 35A,I-MOCO,E.A.S. Aeroservizi,3,A1
10-02-2001,GAF Nomad N.24A,PZ-TBP,Gum Air,10,A1
11-02-2001,CASA C-212-M Aviocar 200,A-9119,Indonesian Army,0,A1
19-02-2001,Antonov 26,T-225,Angolan AF,0,A2
23-02-2001,Cessna 525 CitationJet,D-IWHL,private,0,A2
27-02-2001,Shorts 360-100,G-BNMT,Loganair,2,A1
03-03-2001,Shorts C-23B+ Sherpa (330),93-1336,Florida ANG,21,A1
03-03-2001,Boeing 737-4D7,HS-TDC,Thai Airways International,1,A1
07-03-2001,Boeing 707-331C,PT-MST,Skymaster Airlines,0,A1
08-03-2001,Cessna 525 CitationJet,N909M,Wilmington Trust,0,A2
11-03-2001,Boeing 727-223F,N701NE,Express One,0,A1
15-03-2001,Douglas C-47A-80-DL (DC-3),N842MB,Jim Hankins Air Service,0,A1
15-03-2001,Tupolev 154M,RA-85619,Vnukovo Airlines,3,H2
17-03-2001,Beechcraft 1900C-1,S9-CAE,SAL Express,16,A1
17-03-2001,Airbus A320-212,N357NW,Northwest Airlines,0,A2
19-03-2001,Embraer 120RT Brasilia,N266CA,Comair opf. Delta Connection,0,A2
23-03-2001,Boeing 707-3B4C,SU-BMV,Luxor Air Egypt,0,A1
24-03-2001,DHC-6 Twin Otter 300,F-OGES,Air Caraïbes,20,A1
26-03-2001,Fokker F-27 Friendship 500F,PK-MFL,Merpati Nusantara,3,A1
26-03-2001,Beechcraft RC-12K Huron (A200CT Sup,85-0154,US Army,2,A1
29-03-2001,Gulfstream Aerospace G-1159 Gulfstr,N303GA,Avjet Corp,18,A1
30-03-2001,ATR-42-310,N37AE,American Eagle Airlines,0,O1
31-03-2001,DHC-3 Otter,N120BA,Bishop Aviation,0,A1
02-04-2001,Cessna 501 Citation I/SP,N405PC,Jet Wings,1,A1
04-04-2001,Douglas DC-3A-S1C3G,N19BA,Roblex Aviation,0,A1
04-04-2001,Antonov 26,,Sudan AF,14,A1
04-04-2001,Boeing 737-2E1F,C-GDCC,Royal Airlines,0,A1
05-04-2001,Beechcraft 200 Super King Air,YV-O-SATA-6,,0,A1
07-04-2001,Beechcraft 100 King Air,C-FWPN,Alberta Central Airways,0,A1
10-04-2001,Antonov 26,3C-AWU,private,0,A1
15-04-2001,Cessna 208B Grand Caravan,ZS-OCZ,Union Charter Trust,0,A1
18-04-2001,Ilyushin 76MD,UR-78821,Dart,0,A1
23-04-2001,Antonov 2T,RA-01122,Yakustk Air Enterprise,0,A1
25-04-2001,Antonov 2R,RA-17832,Adygeya-Avia,0,A1
26-04-2001,Cessna 208B Super Cargomaster,N974FE,Wiggins Airways opf. FedEx,0,A1
26-04-2001,Antonov 12,,Ethiopian AF,0,H2
27-04-2001,Antonov 2SX,RA-40997,Virazh Ltd,0,A1
28-04-2001,Cessna 208B Grand Caravan,LV-WSC,Les Grands Jorasses,10,A1
29-04-2001,Cessna 208 Caravan I,VH-MMV,private,1,A1
05-05-2001,Cessna 208B Super Cargomaster,N948FE,FedEx opf. Corporate Air,1,A1
10-05-2001,MD-83,EC-FXI,Spanair,0,A2
10-05-2001,Boeing 727-44F,D2-FCK,Angola Air Charter,0,A1
13-05-2001,Boeing 727-222,N7274U,United Airlines,0,O1
16-05-2001,IPTN/CASA CN-235M-100,086,Turkish AF,34,A1
17-05-2001,Yakovlev 40,EP-TQP,Faraz Qeshm,30,A1
17-05-2001,Fokker F-27 Friendship 400M,TC-76,Argentine AF,5,A1
18-05-2001,IPTN/CASA CN-235MP-100M,TCSG-552,Turkish Navy,4,A1
22-05-2001,Antonov 12MGA,RA-12135,Russian AF,7,A1
22-05-2001,Boeing 737-210C,C-GNWI,First Air,0,A1
23-05-2001,Fokker 100,N1419D,American Airlines,0,A1
02-06-2001,Antonov 2,,Volgograd Air Club,3,A1
05-06-2001,Fokker F-27 Friendship 500,G-CEXF,Channel Express,0,A2
07-06-2001,Beechcraft B300C Super King Air 350,F-GOAE,Aerope 3S Aviation,0,A1
08-06-2001,Boeing 727-90C,S9-BOG,Transafrik,0,C2
12-06-2001,Learjet 25D,N333CG,Avcon Industries,0,A1
14-06-2001,DHC-8-103,LN-WIS,Widerøes Flyveselskap,0,A1
15-06-2001,Transall C-160NG,PK-VTP,Manunggal Air,1,A1
