09-01-2012,Xian MA60,FAB-96,TAM,0,A2
18-01-2012,DHC-8-315Q MPA,JA720A,Japan Coast Guard,0,A2
24-01-2012,MD-83,EC-JJS,Swiftair opf. Gryphon Airlines,0,A2
24-01-2012,Canadair Regional Jet CRJ-200ER,N8524A,Pinnacle Airlines,0,O1
30-01-2012,Antonov 28,9Q-CUN, TRACEP-Congo Aviation,3,A1
05-02-2012,Airbus A320-211,JA8384,All Nippon,0,A1
09-02-2012,DHC-6 Twin Otter 200,8Q-MAT,Maldivian Air Taxi,0,A2
12-02-2012,Gulfstream G-IV,N2SA, Trident Aviation Services opf. Katanga Express,6,A1
12-02-2012,Airbus A320-232,PR-MAR,TAM Brasil,0,H2
14-02-2012,Airbus A319-111,G-EZFV,easyJet,0,A2
17-02-2012,Let L-410UVP,RF-01152,DOSAAF,0,A1
17-02-2012,ATR-72-212A (ATR-72-500),XY-AIT,Air KBZ,0,A2
21-02-2012,Lockheed CC-130H Hercules,130342,Canadian Armed Forces,0,A2
28-02-2012,Cessna 208B Grand Caravan,PT-PTB,CTA - Cleiton Taxi Aéreo,1,A1
01-03-2012,Cessna 750 Citation X,N288CX,Asia Today Ltd.,5,A1
02-03-2012,Cessna 650 Citation III,N72EP,Jeffy Jet,0,O1
04-03-2012,Antonov 26,617,Yemen AF,0,O1
07-03-2012,Boeing 737-500 ?,, Sudan Airways,0,H2
08-03-2012,British Aerospace 3112 Jetstream 31,G-CCPW,Links Air opf. Manx2,0,A2
09-03-2012,DHC-6 Twin Otter 300,FAP-317,Peruvian AF,0,A2
09-03-2012,Beechcraft 100 King Air,N70JL,Southern Air Charter,0,A1
13-03-2012,Boeing 737-732 (WL),N309DE,Delta Air Lines,0,O2
15-03-2012,Convair CV-340,N153JR,Jet One Express,2,A1
15-03-2012,Lockheed C-130J-30 Hercules,5630,Norwegian AF,5,A1
15-03-2012,Cessna 501 Citation I/SP,N7700T,private,5,A1
16-03-2012,CASA CN235M-100,AEE-503,Ecuador Army,0,A2
17-03-2012,Beechcraft 1900C,C-GCMZ,Northern Thunderbird Air,0,A2
22-03-2012,Antonov 2,FLA-1041K,private,0,A1
22-03-2012,Beechcraft B300 Super King Air 350,CC-AEB,INAER Helicopter Chile,8,A1
24-03-2012,Cessna 208 Caravan I,N208JS,private,0,A2
29-03-2012,Fokker 50,ST-NEX,Feeder Airlines,0,A2
02-04-2012,ATR-72-201,VP-BYZ,UTAir,33,A1
02-04-2012,Hawker Siddeley HS-748-287 Srs. 2B,5Y-BZR,Timbis Air Services,0,A1
09-04-2012,DHC-8-311Q,5H-MWG,Air Tanzania,0,A1
14-04-2012,Boeing 737-33A (QC),G-ZAPZ,Titan Airways,0,A2
15-04-2012,Canadair Regional Jet CRJ-200ER,N684BR,ExpressJet Airlines opf. Delta Connection,0,O2
15-04-2012,Fokker F-27 Friendship 500,5Y-SRJ,Sky Relief Services,0,A1
20-04-2012,Boeing 737-236,AP-BKC,Bhoja Airlines,127,A1
21-04-2012,Curtiss C-46F-1-CU,CP-1319,SkyTeam Cargo,3,A1
22-04-2012,Boeing 737-4H6,AP-BJN,Shaheen Air,0,A2
23-04-2012,Antonov 2R,YR-BOR,Aerogetic,0,A1
27-04-2012,Boeing 727-212,XB-MNP,Unknown,0,A1
28-04-2012,Antonov 24RV,3X-GEB,Jubba Airways,0,A1
30-04-2012,ATR-72-212A (ATR-72-500),L16-2/52,Thai AF,0,A2
01-05-2012,Airbus A300B4-605R,TC-OAG,Onur Air opf. Saudi Arabian,0,A2
02-05-2012,Cessna 208B Grand Caravan,5Y-NGO,Airworks opf. UN WFP,0,A1
09-05-2012,Sukhoi Superjet 100-95B,97004,Sukhoi Civil Aircraft,45,A1
11-05-2012,Convair CV-580F SCD,N171FL,Contract Air Cargo,0,A1
14-05-2012,Dornier 228-212,9N-AIG,Agni Air,15,A1
17-05-2012,ATR-72-212A (ATR-72-500),I-ADCD,Air Dolomiti,0,A2
17-05-2012,Shorts 360-100,N617FB,Air Cargo Carriers,0,A1
18-05-2012,Antonov 2T,HA-MEA,Sky Escort Aero-Club Hungary,0,O2
23-05-2012,Antonov 30B,04 Black,Russian AF,0,A1
24-05-2012,Canadair CC-144A Challenger 600,144601,Canadian Armed Forces,0,A2
25-05-2012,Cessna 208B Super Cargomaster,D-FAAF,Skydive Flyzone,0,A1
28-05-2012,Boeing 777-237LR,VT-ALH,Air India,0,A2
01-06-2012,Boeing 737-4Y0,PK-CJV, Sriwijaya Air,0,A2
02-06-2012,Boeing 727-221F,5N-BJN,Allied Air,12,A1
03-06-2012,MD-83,5N-RAM,Dana Air,163,A1
06-06-2012,Swearingen SA227AC Metro III,CX-LAS,Air Class Líneas Aéreas,2,A1
07-06-2012,Learjet 60,N500SW,Performance Aircraft Leasing Inc.,0,A1
09-06-2012,ATR-42-500,OK-KFM,CSA,0,O1
10-06-2012,Let L-410UVP,UR-SKD,Ukrainska Shkola Pilotov,5,A1
10-06-2012,DHC-8-311,V2-LGH,LIAT,0,O1
11-06-2012,Antonov 2R,RA-40312,Avia Zov,13,A1
12-06-2012,Hawker Siddeley HS-748-264 Srs.2A,C-FTTW,Wasaya Airways,0,O1
16-06-2012,ATR-42-320,G-DRFC,Blue Islands,0,A1
18-06-2012,Beechcraft Beechjet 400A,N826JH,N79TE LLC,0,A1
20-06-2012,Boeing 767-381ER,JA610A,All Nippon,0,A2
20-06-2012,Grumman G-159 Gulfstream I,9Q-CIT, ITAB,0,A1
21-06-2012,Fokker F-27 Friendship 400M,A-2708,Indonesian AF,11,A1
23-06-2012,Cessna 208B Grand Caravan,EJC-1131,Colombian Army,4,A1
27-06-2012,Ilyushin 76MD,RA-76761,Russian AF,0,A1
29-06-2012,Embraer ERJ 190-100 LR  (ERJ-190LR),B-3171,Tianjin Airlines,2,H2
01-07-2012,Lockheed C-130H Hercules,93-1458,USAF,4,A1
04-07-2012,Rockwell Sabreliner 75A,AE-175,Argentine Army,0,A2
09-07-2012,DHC-6 Twin Otter 300,8Q-TMT,Trans Maldivian Airways,0,A2
12-07-2012,Harbin Yunshuji Y-12-II,5T-MAE,Mauritanian AF,7,A1
13-07-2012,Gulfstream G-IV,N823GA,Universal Jet Aviation,3,A1
15-07-2012,MD-83,N110HM,American Airlines,0,O1
17-07-2012,Canadair Regional Jet CRJ-200ER,N865AS,Skywest Airlines,1,H2
18-07-2012,Boeing 737-230,CC-CRQ,Sky Airline,0,A2
19-07-2012,Antonov 2R,RA-40934,Dalnevostochnaya,0,A1
22-07-2012,Let L-410UVP-E3,RF-00138,DOSAAF,1,A1
28-07-2012,Beechcraft B200 Super King Air,OO-LET,ASL - Air Service Liege,0,A1
28-07-2012,Beechcraft B200 Super King Air,PR-DOC,Vilma Alimentos,8,A1
02-08-2012,Cessna 500 Citation I,EC-IBA,Airnor,2,A1
06-08-2012,Embraer EMB-505 Phenom 300,CN-MBR,Dalia Air Geneva,0,A2
10-08-2012,Bombardier DHC-8-402Q Dash 8,N341NG,Colgan Air opf. United Express,0,A2
10-08-2012,Airbus A330-343X,D-AIKE,Lufthansa,0,A2
16-08-2012,Saab 2000 AEW&C;,,Pakistan AF,0,C1
17-08-2012,Embraer ERJ 190-100 IGW (ERJ-190AR),B-16825,Mandarin Airlines,0,A2
19-08-2012,Antonov 26-100,ST-ARL, Alfa Airlines,32,A1
22-08-2012,Let L-410UVP-E9,5Y-UVP,Mombasa Air Safari,4,A1
30-08-2012,BN-2B-26 Islander,B-68801,Dapeng Airlines,3,A1
31-08-2012,ATR-42-500,AP-BHJ,PIA,0,A1
12-09-2012,Antonov 28,RA-28715,Petropavlovsk-Kamchatsky Air Ent.,10,A1
15-09-2012,Learjet 24D,D-CMMM,private,0,A1
18-09-2012,Beechcraft Beechjet 400,N428JD,Dewberry Air,0,A1
20-09-2012,Airbus A320-232,YK-AKF,Syrian Arab Airlines,0,A2
